Artist	Title	Lyric
Lady Gaga	Stupid Love (The Blessed Madonna Remix)*	lyrics for this song have yet to be released please check back once the song has been released
Lady Gaga	Old days, glory days	lyrics for this song have yet to be released please check back once the song has been released
Lady Gaga	Good for us	tba
Lady Gaga	Rabies (Rumored)	i can be cool
Lady Gaga	Exodus	lyrics for this song have yet to be released please check back once the song has been released
Lady Gaga	Galera	lyrics for this song have yet to be released please check back once the song has been released
Lady Gaga	HIGH NIGHT	song coming soon
Lady Gaga	Just Dance (Breathe Electric Remix)	lyrics for this song have yet to be released please check back once the song has been released
Lady Gaga	Are you friendly with her?	no omgno
Nicki Minaj	Untitled Ms Banks Collaboration*	lyrics for this song have yet to be released please check back once the song has been released
Nicki Minaj	Nicki Minaj’s First Rap Song	cookies the name chocolate chip is the flavor suck up my style like the cherry life saver
Nicki Minaj	Memories	lyrics for this song have yet to be released please check back once the song has been released
Nicki Minaj	Funhouse*	lyrics for this song will be available upon release
Nicki Minaj	Barbie Whip	lyrics will be available upon release of song
Nicki Minaj	Hundred Million Dollaz	people tryin to fool me call me lil nicki
Nicki Minaj	I’m Staying Right Here	lyrics for this song have yet to be released please check back once the song has been released
Nicki Minaj	Motorsport (Original Verse)	watch you're man you should watch you're mouth
Nicki Minaj	Underground*	lyrics for this song will be available upon release
Nicki Minaj	Roman’s Rebirth	tba
Nicki Minaj	Jailbird*	lyrics for this song will be available upon release
Nicki Minaj	Little Boy	lyrics for this song have yet to be released please check back once the song has been released
Nicki Minaj	Heartstrings	lyrics are tba
Nicki Minaj	Go Off	not yet available
Nicki Minaj	Money Hungry	lyrics not confirmed
Nicki Minaj	Invasion*	snippet uh
Nicki Minaj	Mhammed Bouchikhi-Señorita (clip selfie)	nicki
Nicki Minaj	A Milli (Remix)*	lyrics for this song have yet to be released please check back once the song has been released
Beyoncé	​come home (nala interlude)	nala you have to come home we've really needed you you're the king
Beyoncé	​war (nala interlude)	nala your reign is over scar if you wanna get him you have to get through us are you with me lions
Beyoncé	Eclipse	lyrics for this song have yet to be released please check back once the song has been released
Beyoncé	Intro (Speak My Mind)	just talk whenever i want ha ha ha ha ha
Beyoncé	Outro (Speak My Mind)	just talk whenever i want ha ha ha ha ha it's baby thug make my money nigga
Beyoncé	Intro	audience cheers  spoken beyoncé i am world tour beyoncé i am beyoncé   music plays  audience cheers
Beyoncé	Freak Daddy	lyrics for this song have yet to be released please check back once the song has been released
Beyoncé	Beat My Drum	lyrics for this song have yet to be released please check back once the song has been released
Beyoncé	Butterfly	lyrics for this song have yet to be released please check back once the song has been released
Beyoncé	Bad	lyrics for this song have yet to be released please check back once the song has been released
Beyoncé	Cherry	lyrics for this song have yet to be released please check back once the song has been released
Beyoncé	Hold My Beer	lyrics for this song have yet to be released please check back once the song has been released
Beyoncé	My Song	lyrics for this song have yet to be released please check back once the song has been released
Beyoncé	Scent of You	lyrics for this song have yet to be released please check back once the song has been released
Beyoncé	What Kind of World	lyrics for this song have yet to be released please check back once the song has been released
Beyoncé	Royalty	coming soon
Beyoncé	Black Parade (Remix)	being black maybe that the reason why they always mad
Beyoncé	This Love	lyrics for this song have yet to be released please check back once the song has been released
Ed Sheeran	Let’s Ride*	snippet   baby let's ride  mmm excuse me  blame it on the juice and the jager bomb shot in my hand
Ed Sheeran	Roots*	tba
Ed Sheeran	Yeller	old yeller
Ed Sheeran	Crazy	these lyrics have yet to be transcribed
Ed Sheeran	On My Mind	lyrics for this song have yet to be released please check back once the song has been released
Ed Sheeran	#hot16challenge2	lyrics for this song have yet to be released please check back once the song has been released
Ed Sheeran	Butterfly	lyrics for this song have yet to be released please check back once the song has been released
Ed Sheeran	No More War	lyrics for this song have yet to be released please check back once the song has been released
Ed Sheeran	Broken	lyrics for this song have yet to be released please check back once the song has been released
Ed Sheeran	Sleep	lyrics for this song have yet to be released please check back once the song has been released
Justin Bieber	Guarded*	snippet  justin bieber careful not to bet this night away why things that are wrong feel so right
Justin Bieber	Paris*	lyrics for this song have yet to be released please check back once the song has been released
Justin Bieber	All Angles*	lyrics for this song have yet to be released please check back once the song has been released
Justin Bieber	L.I.F.E*	lyrics for this song have yet to be released please check back once the song has been released
Justin Bieber	Emotional	ill leave you if you want me to let go you dont deserve this emotional roller coaster
Justin Bieber	Magnets*	lyrics for this song have yet to be released please check back once the song has been released
Justin Bieber	20 Bucks	lyrics for this song have yet to be released please check back once the song has been released
Justin Bieber	Distance*	lyrics for this song have yet to be released please check back once the song has been released
Justin Bieber	Breathe	lyrics for this song have yet to be released please check back once the song has been released
Justin Bieber	Holy Water*	lyrics for this song have yet to be released please check back once the song has been released
Justin Bieber	Greatest Distraction*	lyrics for this song have yet to be released please check back once the song has been released
Justin Bieber	Lil Bit*	lyrics for this song have yet to be released please check back once the song has been released
Justin Bieber	Recognition*	lyrics for this song have yet to be released please check back once the song has been released
Justin Bieber	Take Advantage*	lyrics for this song have yet to be released please check back once the song has been released
Justin Bieber	B L I N K*	lyrics for this song have yet to be released please check back once the song has been released
Justin Bieber	2 Much*	lyrics for this song have yet to be released please check back once the song has been released
Justin Bieber	Along The Way*	lyrics for this song have yet to be released please check back once the song has been released
Justin Bieber	See Forever*	lyrics for this song have yet to be released please check back once the song has been released
Justin Bieber	Not Going Anywhere*	lyrics for this song have yet to be released please check back once the song has been released
Justin Bieber	Hold On*	lyrics for this song have yet to be released please check back once the song has been released
Justin Bieber	Wake Up Alone*	lyrics for this song have yet to be released please check back once the song has been released
Justin Bieber	Deserve You*	lyrics for this song have yet to be released please check back once the song has been released
Justin Bieber	Benefits*	lyrics for this song have yet to be released please check back once the song has been released
Justin Bieber	Told Me So*	lyrics for this song have yet to be released please check back once the song has been released
Justin Bieber	Off My Face*	lyrics for this song have yet to be released please check back once the song has been released
Justin Bieber	Holy Covered by Christian Lamanna	lyrics
Justin Bieber	Christian lamana covers Lonely	unavailable
Justin Bieber	Jb	johb
Justin Bieber	I Need You	lyrics for this song have yet to be released please check back once the song has been released
Taylor Swift	Acting Like a Boy*	lyrics for this song have yet to be released please check back once the song has been released
Taylor Swift	Had Nothing But a Time We Never Had*	lyrics available upon release stay tuned
Taylor Swift	Family	lyrics for this song have yet to be released please check back once the song has been released
Taylor Swift	Drama Queen	lyrics for this song have yet to be released please check back once the song has been released
Taylor Swift	Scream	lyrics for this song have yet to be released please check back once the song has been released
Taylor Swift	Bother Me*	lyrics for this song have yet to be released please check back once the song has been released
Taylor Swift	Goodbye Butterfly*	lyrics for this song have yet to be released please check back once the song has been released
Taylor Swift	His Lies	lyrics for this song have yet to be released please check back once the song has been released
Taylor Swift	Too Beautiful	lyrics for this song have yet to be released please check back once the song has been released
Taylor Swift	Anymore*	lyrics for this song have yet to be released please check back once the song has been released
Taylor Swift	Castles Crumbling*	lyrics for this song have yet to be released please check back once the song has been released
Taylor Swift	None of the Above	lyrics for this song have yet to be released please check back once the song has been released
Taylor Swift	Timeless	lyrics for this song have yet to be released please check back once the song has been released
Taylor Swift	Beautiful Day*	lyrics for this song have yet to be released please check back once the song has been released
Taylor Swift	I Can See You*	lyrics for this song have yet to be released please check back once the song has been released
Taylor Swift	Boys and Love*	lyrics for this song have yet to be released please check back once the song has been released
Taylor Swift	I Bet You Think About Me*	lyrics for this song have yet to be released please check back once the song has been released
